text,label
can i put this on a toddler skin?,Personal Care
Does VANICREAM Mositurizing Skin Cream contain Urea and what percentage?,Personal Care
Does it work for UV gel nail polish? It came up in that search,Personal Care
Does your skin gets darker before it peels?,Personal Care
"Can this be used on neck, chest and hands too or am I better off using a lower 5% solution for aging skin on those areas?",Personal Care
Will this help lighten/fade any acne scars? Does it even skin tone?,Personal Care
"It says for ""mature"" skin, I'm not sure what age that refers to; I am 35 with hyperpigmentation due to sun damage.  Would this be OK to use?",Personal Care
Do you have hair fiber?,Personal Care
"What color for Asian eyes? Hi, I usually don't wear eyeshadow unless there's a special occasion,  but when that happens, I'm at a loss for what color will look good on me.  I am Asian, and have light skin and brown eyes, and would like to get a more subtle look.  Are there any colors that people would recommend?



    What color for Asian eyes? Hi, I usually don't wear eyeshadow unless there's a special occasion,  but when that happens, I'm at a loss for what color will look good on me.  I am Asian,...
      » 
Read More


   What color for Asian eyes? Hi, I usually don't wear eyeshadow unless there's a special occasion,  but when that happens, I'm at a loss for what color will look good on me.  I am Asian, and have light skin and brown eyes, and would like to get a more subtle look.  Are there any colors that people would recommend?
      « 

Show Less",Personal Care
Are 6 large rollers typically enough for an average thickness head of hair or do most people order 2 sets?,Personal Care
"Will they work on chin length, thick hair?  Would like a quicker way to style rather than curling iron or flat iron and would like soft curls.",Personal Care
I used a Conair in a hotel and loved it because it blew such hot heat and my hair looked great.  Is this a dryer that has high heat?,Personal Care
how long does it take to dry regular nail polish?,Personal Care
"Does it make blonde, color-treated hair look brassy or does it NOT change the color?",Personal Care
is it for thin hair,Personal Care
There are many cones in this product...how can we prevent dryness in the hair with them?,Personal Care
How do you use this product on short fine hair?,Personal Care
Will this product help my fine thin hair hold a curl when using a curling iron?,Personal Care
"Does this turn your skin ""bronze"" immediately in a noticeable way or do you need to also buy the intensifier version to use on top of this spray gel """,Personal Care
Is this an ionic hair dryer?  I don't want one of those!,Personal Care
Where is the hair dryer made?,Personal Care
Can you use this in your hair to make hair wash powder?,Personal Care
Do we have to use hair max 3 times a week forever or we have to stop or use less than 3 times a week at some point.I just want to use it as instructed,Personal Care
Does it cause hair loss,Personal Care
"I'm gray, woo all my hair fall out?",Personal Care
I have used Kenra Platinum Hot Spray with my curling iron.  Can't stand it because it makes my hair so stiff.  Does this do the same thing?,Personal Care
can i use with hair extensions,Personal Care
can you use it in your hair?,Personal Care
Would this product be helpful for someone who lost their hair due to chemo?,Personal Care
Do I need to buy two bottles? My hair is thick and it goes halfway down my back,Personal Care
Does the tar pull on your hair? I feel like it would rip my hair out or make me lose my hair (long blonde hair). Will it also make my blonde hair dark,Personal Care
Hi my hair is falling out in little strand and as i am a young lady it not nice will coal tar shampoo help me or what will,Personal Care
I have snow white hair. What color is the shampoo? (I've tried some that deposited color.),Personal Care
"Is it good for straight, thick, colored hair, too?",Personal Care
Is it a light or heavy product?  Will it weigh down my hair or make it look greasy?,Personal Care
will this hold curls for straight hair as a setting spray? or is it only for heat protection,Personal Care
Is this product good for protecting hair while blow drying?,Personal Care
does this work for textured african hair,Personal Care
will this protect my hair from a heating iron or straight iron,Personal Care
"Silk Therapy greasiness I bought Silk Therapy to help my heat-damaged hair.  I have naturally wavy/curly hair that is pretty long (maybe 5 inches past my shoulders).  I've been putting the serum in my palm, about the size of a nickel, and working it in from my scalp to the ends of my hair - like the instructions say.  I do this while my hair is wet since the instructions say it doesn't matter if your hair is wet or dry.  Also, I put the serum on my hair prior to any hair products like gel or hairspray.  Every time I do this, my hair looks like a greasy mess!  What am I doing wrong?  I had to stop using it during the day because my hair looks so awful.  Instead, I put it on my dry hair before I go to bed at night.  Any suggestions would be appreciated!



    Silk Therapy greasiness I bought Silk Therapy to help my heat-damaged hair.  I have naturally wavy/curly hair that is pretty long (maybe 5 inches past my shoulders).  I've been putting the...
      » 
Read More


   Silk Therapy greasiness I bought Silk Therapy to help my heat-damaged hair.  I have naturally wavy/curly hair that is pretty long (maybe 5 inches past my shoulders).  I've been putting the serum in my palm, about the size of a nickel, and working it in from my scalp to the ends of my hair - like the instructions say.  I do this while my hair is wet since the instructions say it doesn't matter if your hair is wet or dry.  Also, I put the serum on my hair prior to any hair products like gel or hairspray.  Every time I do this, my hair looks like a greasy mess!  What am I doing wrong?  I had to stop using it during the day because my hair looks so awful.  Instead, I put it on my dry hair before I go to bed at night.  Any suggestions would be appreciated!
      « 

Show Less",Personal Care
This should be used after conditioner and leave it in hair or like a masque use it before conditioner and rinse off? not sure how to use it correctly.,Personal Care
"I have aquired Alfaparf Semi Di Lino Diamante Cristalli Liquidi and do not how to apply.  On wet hair , after styling ?  Please inform",Personal Care
would this be ok for oily hair and can you put it on when hair is already dry?,Personal Care
I tried to enlarge the picture and was unable to.  Is this the serious colour care hydrate for dry colour treated hair?,Personal Care
What is the difference between Igora Royal Permanent Hair Color 5-00 Light Brown Forte 2.1 oz. and Igora Royal Permanent Hair Color 5-00 Light Brown?,Personal Care
Can I use Schwarzkopf permanent Hair Color with a different brand color developer?  Thanks.,Personal Care
I have used Schwarzkopf for over a year.I use 10 volume Igora Royal developer. I miss small patches back of my hair. Can I color my my entire hair?,Personal Care
I have used Schwarzkopf for over a year.I use 10 volume Igora Royal developer. I miss small patches back of my hair. Can I color my my entire hair?,Personal Care
"does the extra light blond works in dark brown hair. i don,t want my hair to turn orange",Personal Care
Can I use this browning lotion without going out in the sun will my skin look tan?,Personal Care
is this self tanner (that changes skin color even without UV) or just accelerator type without the dye?  I prefer latter. Thabnk you,Personal Care
"Does it streak at all? And also, Is it good for pale white skin? I just ordered this product so I hope it helps me out! (Especially my legs!)",Personal Care
I naturally burn in the sun and rarely tan. How will this product work on me? And should sunblock be applied before or after applying maui babe?,Personal Care
Is this product for African American hair only,Personal Care
"I already ordered this but forgot to ask, Is this safe for color-treated hair?",Personal Care
"Can I use this with hair curling iron (regular, not wet and dry type)?",Personal Care
Does this setting lotion hold curls for hair that is permed?,Personal Care
"mean those inches on the plates?  I need one that does not burn your hair, thanks!",Personal Care
Does it seem to dry hair faster than average dryers?,Personal Care
what hot brush do you recommend for short fine hair that does not burn scalp?,Personal Care
"I'm not sure whether to purchase 1 inch or 1 1/4 inch.  I love long, tight curls, but will the 1 inch make my sides seem too short?  I have long, fine hair, but my sides are much shorter than the back.



    I'm not sure whether to purchase 1 inch or 1 1/4 inch.  I love long, tight curls, but will the 1 inch make my sides seem too short?  I have long, fine hair, but my sides are much shorter than...
      » 
Read More


   I'm not sure whether to purchase 1 inch or 1 1/4 inch.  I love long, tight curls, but will the 1 inch make my sides seem too short?  I have long, fine hair, but my sides are much shorter than the back.
      « 

Show Less",Personal Care
"If this is not 100% ceramic, does it burn/damage hair?",Personal Care
How long is each barrel? I understand the width but I have long hair and want to make sure that the wand is long enough for my hair to wrap around it,Personal Care
I have wavy/curly hair when wet. Will the comb attacthment be able to stay on while blow drying?,Personal Care
Is this a dual voltage hair dryer?,Personal Care
Would this be recommended for fine straight hair? Or does it work best on coarse hair?,Personal Care
is this product safe for color treated hair?,Personal Care
Why can't Malibu hard water treatment be used on gray hair. What happens if it is used on gray hair?,Personal Care
"Can you drink this? It looks like you can take ""Natures Answer Platinum Evening Primrose Oil"" orally (drink it or mix it with food). Can you do that with this oil or can you only rub it onto your skin?



    Can you drink this? It looks like you can take ""Natures Answer Platinum Evening Primrose Oil"" orally (drink it or mix it with food). Can you do that with this oil or can you only rub it...
      » 
Read More


   Can you drink this? It looks like you can take ""Natures Answer Platinum Evening Primrose Oil"" orally (drink it or mix it with food). Can you do that with this oil or can you only rub it onto your skin?
      « 

Show Less",Personal Care
does primrose help your hair grow,Personal Care
"Can you use this during the day? Everyone says that it works great and makes your skin look nice at night, so can you use it during the day as a foundation?",Personal Care
what dose pack of 3 means? dose it contain 3 hair dye packs?,Personal Care
Can this product make ur hair thin,Personal Care
can just for men touch of grey be used on facial hair,Personal Care
"So recently I've bleached my hair and its very frizzy and dried, will this make it look and feel healthy again? Just wondering because $22 is alot imo",Personal Care
How do you use this hair mask? Do you have to keep it in the hair for some amount of time and then rinse?,Personal Care
How often do you use the hair mask?,Personal Care
Are the Its a10 Hair mask in 8oz jar the same exact same product in the 17.5oz  pump bottle?,Personal Care
What is the difference between the 166052 and the 200505 Its a 10 miracle hair mask?,Personal Care
What is the difference between this and the cicaplast baume? Which one is better for dry flaky skin?,Personal Care
will it take out my red hair dye? i want to go back to a light brown,Personal Care
will oops take black dye out my hair,Personal Care
I have relaxed hair. will this product help to darken my hair color? i recently put a permanent color in that turned out lighter than expected.,Personal Care
My hair was previously bleached to platinum blonde and now it's a dark red. Will this take me back to blonde?,Personal Care
